TIPO	OBJETO	MATERIAL	TEXTO PEDIDO	DENOM. MATERIAL	MON.	        IMP. TRANS.	MON.	       IMP. SOC.	   FECHA CONTAB.	   FECHA CREACION	USUARIO	DOC. COMPRAS	DENOM. PROVEEDOR	ID.	    DOCUMENTO FI	CLASE COST	DENOM. OBJETO	   DOCUMENTO CO	OP.	OP.REF	ORD.PARTNER	PROVEEDOR	SOCI	TEXTO CAB.	TEXTO POS.
COMPROMETIDO	PRIND PI353*ADM		CIVR-Nutric.Mont. electromec.Env		USD	19.398,00	USD	19.398,00		       31.01.2017		4500897241	GEA PROCESS ENGINEERING S.A.			74190001	Línea nutricionales					500291	CONA		
COMPROMETIDO	PRIND PI353*ADM		Reintegro viáticos-Jun-Jul/19		UYU	2.141,00	USD	61,89		       02.08.2019		4501100675	CARLOS CARCABELOS			74163000	Línea nutricionales					110140	CONA		
COMPROMETIDO	PRIND PI353*ADM		Reintegro viáticos-Setiembre/19		UYU	593	USD	15,97		       14.10.2019		4501116969	CARLOS CARCABELOS			74190001	Línea nutricionales					110140	CONA		
COMPROMETIDO	PRIND PI353*ELEC		CIVR-Nutric.Mont. electromec.Env		USD	51.972,00	USD	51.972,00		       31.01.2017		4500897241	GEA PROCESS ENGINEERING S.A.			74190001	Línea nutricionales					500291	CONA		
COMPROMETIDO	PRIND PI353*ELEC		CIVR-Nutric.Cont. compl. Inst.el		UYU	0,01				       01.10.2018		4501031820	TINKA SA			74190001	Línea nutricionales					108399	CONA		
COMPROMETIDO	PRIND PI353*ELEC		CIVR-Sellado de bandejas plástic		UYU	96.002,00	USD	2.942,59		       19.02.2019		4501063417	VERYLOT S.A.			74190001	Línea nutricionales					106123	CONA		
COMPROMETIDO	PRIND PI353*ELEC		CIVR-Inst.eléct.líneas generales		UYU	416,71	USD	14,46		       05.09.2017		4500944510	TINKA SA			74190001	Línea nutricionales					108399	CONA		
COMPROMETIDO	PRIND PI353*ELEC		Mano de obra Adicionales Proyect		UYU	56.356,04	USD	1.339,83		       30.06.2020		4501171979	TELEDATA S.A.			74164000	Línea nutricionales					101138	CONA		
COMPROMETIDO	PRIND PI353*ELEC		Materiales Adicionales Proyecto		USD	3.141,24	USD	3.141,24		       30.06.2020		4501171978	TELEDATA S.A.			74164100	Línea nutricionales					101138	CONA		
COMPROMETIDO	PRIND PI353*EQ		FACTURA 554 VALVULAS		USD	714,6	USD	714,6		       18.01.2017		4500894922	GEA PROCESS ENGINEERING S.A.			74190001	Línea nutricionales					500291	CONA		
COMPROMETIDO	PRIND PI353*EQ		FACTURA 449 FILTROS		USD	135.511,26	USD	135.511,26		       18.01.2017		4500894922	GEA PROCESS ENGINEERING S.A.			74190001	Línea nutricionales					500291	CONA		
COMPROMETIDO	PRIND PI353*EQ		ALQUILER CONTENEDOR (6M)		USD	245	USD	245		       13.04.2018		4500993963	MULCON SA			74190001	Línea nutricionales					106034	CONA		
COMPROMETIDO	PRIND PI353*EQ		FACTURA 448 FILTROS		USD	17.845,50	USD	17.845,50		       18.01.2017		4500894922	GEA PROCESS ENGINEERING S.A.			74190001	Línea nutricionales					500291	CONA		
COMPROMETIDO	PRIND PI353*EQ		FACTURA 436 VALV DIV		USD	9.950,76	USD	9.950,76		       18.01.2017		4500894922	GEA PROCESS ENGINEERING S.A.			74190001	Línea nutricionales					500291	CONA		
COMPROMETIDO	PRIND PI353*EQ		CIVR-Reformas Spray Nº 2 y Evap		USD	0,01	USD	0,01		       18.01.2017		4500894922	GEA PROCESS ENGINEERING S.A.			74190001	Línea nutricionales					500291	CONA		
COMPROMETIDO	PRIND PI353*EQ	488114	ANILLO O-RING WESTFALIA MS600	ANILLO O-RING	EUR	23,1	USD	27,18		       11.12.2017		4500967507	GEA WESTFALIA SEPARATOR ARGEN			73062000	Línea nutricionales					500790	CONA		
COMPROMETIDO	PRIND PI353*EQ	488119	ANILLO O-RING WESTFALIA MS600	ANILLO O-RING	EUR	17,4	USD	20,47		       11.12.2017		4500967507	GEA WESTFALIA SEPARATOR ARGEN			73062000	Línea nutricionales					500790	CONA		
COMPROMETIDO	PRIND PI353*EQ	443871	ANILLO O-RING WESTFALIA MSE 100/	ANILLO O-RING	EUR	6,79	USD	7,99		       11.12.2017		4500967507	GEA WESTFALIA SEPARATOR ARGEN			73062000	Línea nutricionales					500790	CONA		
COMPROMETIDO	PRIND PI353*EQ	488118	ANILLO O-RING WESTFALIA MS600	ANILLO O-RING	EUR	65,87	USD	77,49		       11.12.2017		4500967507	GEA WESTFALIA SEPARATOR ARGEN			73062000	Línea nutricionales					500790	CONA		
COMPROMETIDO	PRIND PI353*EQ	488119	ANILLO O-RING WESTFALIA MS600	ANILLO O-RING	EUR	17,4	USD	20,47		       11.12.2017		4500967507	GEA WESTFALIA SEPARATOR ARGEN			73062000	Línea nutricionales					500790	CONA		
COMPROMETIDO	PRIND PI353*EQ	443871	ANILLO O-RING WESTFALIA MSE 100/	ANILLO O-RING	EUR	6,79	USD	7,99		       11.12.2017		4500967507	GEA WESTFALIA SEPARATOR ARGEN			73062000	Línea nutricionales					500790	CONA		
COMPROMETIDO	PRIND PI353*EQ	488118	ANILLO O-RING WESTFALIA MS600	ANILLO O-RING	EUR	65,87	USD	77,49		       11.12.2017		4500967507	GEA WESTFALIA SEPARATOR ARGEN			73062000	Línea nutricionales					500790	CONA		
COMPROMETIDO	PRIND PI353*EQ		MONTAJE PARRAL DE CAÑERIAS		UYU	642,02	USD	20,24		       11.10.2017		4500953066	BERKES CONSTRUCCION Y MONTAJE			74190001	Línea nutricionales					105234	CONA		
COMPROMETIDO	PRIND PI353*EQ		FACATURA 606 BRIDAS		USD	247,95	USD	247,95		       18.01.2017		4500894922	GEA PROCESS ENGINEERING S.A.			74190001	Línea nutricionales					500291	CONA		
COMPROMETIDO	PRIND PI353*EQ		FACTURA 581 VALVULAS		USD	5.493,45	USD	5.493,45		       18.01.2017		4500894922	GEA PROCESS ENGINEERING S.A.			74190001	Línea nutricionales					500291	CONA		
COMPROMETIDO	PRIND PI353*EQ		FACTURA 120 VALVULAS Y ACC		USD	16.379,82	USD	16.379,82		       18.01.2017		4500894922	GEA PROCESS ENGINEERING S.A.			74190001	Línea nutricionales					500291	CONA		
COMPROMETIDO	PRIND PI353*EQ		FACTURA 613 EQUIPOS Y DUCTOS		USD	183.605,29	USD	183.605,29		       18.01.2017		4500894922	GEA PROCESS ENGINEERING S.A.			74190001	Línea nutricionales					500291	CONA		
COMPROMETIDO	PRIND PI353*EQ		FACTURA 577 CONDUCT Y AUTOMAT		USD	18.080,44	USD	18.080,44		       18.01.2017		4500894922	GEA PROCESS ENGINEERING S.A.			74190001	Línea nutricionales					500291	CONA		
COMPROMETIDO	PRIND PI353*EQ		FACTURA 573 TABLEROS		USD	81.990,00	USD	81.990,00		       18.01.2017		4500894922	GEA PROCESS ENGINEERING S.A.			74190001	Línea nutricionales					500291	CONA		
COMPROMETIDO	PRIND PI353*EQ		FACTURA 572 DETECTOR Y ACC		USD	4.914,57	USD	4.914,57		       18.01.2017		4500894922	GEA PROCESS ENGINEERING S.A.			74190001	Línea nutricionales					500291	CONA		
COMPROMETIDO	PRIND PI353*EQ		FACTURA 571 VALVULA		USD	4.824,00	USD	4.824,00		       18.01.2017		4500894922	GEA PROCESS ENGINEERING S.A.			74190001	Línea nutricionales					500291	CONA		
COMPROMETIDO	PRIND PI353*EQ		FACTURA 559 VALV Y ACC		USD	34.483,66	USD	34.483,66		       18.01.2017		4500894922	GEA PROCESS ENGINEERING S.A.			74190001	Línea nutricionales					500291	CONA		
COMPROMETIDO	PRIND PI353*EQ		FACTURA 6-115		USD	21.577,00	USD	21.577,00		       18.01.2017		4500894922	GEA PROCESS ENGINEERING S.A.			74190001	Línea nutricionales					500291	CONA		
COMPROMETIDO	PRIND PI353*EQ		CIVR-Nutricionales-Dirección Obr		USD	2.500,00	USD	2.500,00		       24.01.2018		4500976512	HECTOR TOSAR PIAGGIO ING. IND.			74190001	Línea nutricionales					101151	CONA		
COMPROMETIDO	PRIND PI353*EQ		PUESTA EN MARCHA		EUR	1.650,00	USD	2.026,62		       24.01.2018		4500976554	GEA WESTFALIA SEPARATOR ARGEN			73061000	Línea nutricionales					500790	CONA		
COMPROMETIDO	PRIND PI353*EQ		Gastos despacho		USD	500	USD	500		       31.07.2018		4501018204	FABAMAR SA			74190001	Línea nutricionales					105410	CONA		
COMPROMETIDO	PRIND PI353*EQ		TRASLADOS		USD	290	USD	290		       20.03.2018		4500988612	RICHARD DZERUVS MARTINEZ			74190001	Línea nutricionales					110651	CONA		
COMPROMETIDO	PRIND PI353*EQ		Herramienta p/configurar placa d		UYU	16.337,05	USD	500,11		       01.03.2019		4501065924	VERYLOT S.A.			74190001	Línea nutricionales					106123	CONA		
